SİPARİŞ TARİHİ,CARİ İSMİ,Sorumluluk Merkezi,Sorumluluk Merkezi Adı,MİKTAR,TAMAMLANAN MİKTAR,TUTAR,NET TUTAR,DOVİZ CİNSİ,KALAN MİKTAR,KALAN SİPARİŞ NET TUTAR
19.08.2025,DFN PROJE MÜHENDİSLİK DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,3795 ,DFN MALATYA 1262,119.00,0.00,"46,565.11","46,565.11",USD,119.00,"46,565.11"
20.08.2025,DFN PROJE MÜHENDİSLİK DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,3796,DFN MALATYA 700,39.00,0.00,"7,990.54","7,990.54",USD,39.00,"7,990.54"
20.08.2025,DFN PROJE MÜHENDİSLİK DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,3797,DFN MALATYA 28,49.00,0.00,"22,644.63","22,644.63",USD,49.00,"22,644.63"
21.08.2025,DFN PROJE MÜHENDİSLİK DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,3798,DFN MALATYA 138,39.00,0.00,"7,799.72","7,799.72",USD,39.00,"7,799.72"
22.08.2025,ALBAVENT MÜHENDİSLİK İNŞAAT VE DANIŞMANLIK HİZMETLERİ LİMİTED ŞİRKETİ,3799,ALBAVENT YILDIZ ENTEGRE,4.00,0.00,"8,051.00","8,051.00",USD,4.00,"8,051.00"
22.08.2025,IRONVENTS HAV.SİST. KEREM İREN,3800,IRONVENTS TUNEL HAVALANDIRMA 2,1.00,0.00,"4,200.00","4,200.00",USD,1.00,"4,200.00"
26.08.2025,DFN PROJE MÜHENDİSLİK DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,3801,DFN MALATYA MERKEZ EK FAN,8.00,0.00,650.00,650.00,USD,8.00,650.00
29.08.2025,DFN PROJE MÜHENDİSLİK DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,3802,DFN KAHRAMANMARAŞ DEPREM KONUTLARI1.PART,42.00,0.00,"11,665.20","11,665.20",USD,42.00,"11,665.20"
03.09.2025,ALBAVENT MÜHENDİSLİK İNŞAAT VE DANIŞMANLIK HİZMETLERİ LİMİTED ŞİRKETİ,3804,DSG ALBAVENT 3804,7.00,0.00,"8,372.00","8,372.00",USD,7.00,"8,372.00"
04.09.2025,ALBAVENT MÜHENDİSLİK İNŞAAT VE DANIŞMANLIK HİZMETLERİ LİMİTED ŞİRKETİ,3805,İZKA ATLANTİS 3805,6.00,0.00,"214,095.36","214,095.36",TL,6.00,"214,095.36"
26.06.2025,ROSENBERG HAVALANDIRMA SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,6253,ROSENBERG 25-06-081,7.00,5.00,"1,785.00","1,785.00",USD,2.00,510.00
10.07.2025,CDC MÜHENDİSLİK DIŞ TİCARET ANONİM ŞİRKETİ,6257,CDC BAHREYN Kadi Eco,781.00,0.00,"38,000.00","38,000.00",USD,781.00,"38,000.00"
29.07.2025,ROSENBERG HAVALANDIRMA SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,6260,ROSENBERG 25-07-098,17.00,0.00,"4,188.20","4,188.20",USD,17.00,"4,188.20"
14.08.2025,ROSENBERG HAVALANDIRMA SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,6261,ROSENBERG 25-08-107,1.00,0.00,894.50,894.50,USD,1.00,894.50
14.08.2025,ROSENBERG HAVALANDIRMA SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,6262,ROSENBERG 25-08-105,12.00,0.00,"6,810.00","6,810.00",USD,12.00,"6,810.00"
26.08.2025,ROSENBERG HAVALANDIRMA SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,6263,ROSENBERG 25-08-110,1.00,0.00,245.00,245.00,USD,1.00,245.00
02.09.2025,ROSENBERG HAVALANDIRMA SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,6264,ROSENBERG 25-08-117,25.00,0.00,"7,500.00","7,500.00",USD,25.00,"7,500.00"
03.09.2025,ROSENBERG HAVALANDIRMA SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,6265,ROSENBERG 25-07-99,7.00,0.00,"2,005.50","2,005.50",USD,7.00,"2,005.50"
04.09.2025,CDC MÜHENDİSLİK DIŞ TİCARET ANONİM ŞİRKETİ,6266,BAHREYN 6266,16.00,0.00,"14,095.00","14,095.00",USD,16.00,"14,095.00"
10.03.2025,AL-NOBEL ,90688,AL NOBEL,168.00,3.00,"160,174.70","152,000.00",EUR,165.00,"150,108.80"
26.03.2025,KHARAFI SYSTEMS General Trading & Contracting Co.,90694,KHARAFI,120.00,64.00,"71,942.05","71,942.05",USD,56.00,"31,370.76"
10.04.2025,C&D METAL WORKS,90698,C&D METAL WORKS,222.00,0.00,"12,830.00","12,830.00",GBP,222.00,"12,830.00"
21.07.2025,AIR PURIFICATION FOR TRADING,90718,APT,13.00,0.00,"29,700.00","29,700.00",USD,13.00,"29,700.00"
29.07.2025,AIR PURIFICATION FOR TRADING,90721,90721 APT,227.00,0.00,"100,000.00","100,000.00",USD,227.00,"100,000.00"
29.07.2025,DENIKOO D.O.O.,90722,90722 DENIKOO,20.00,0.00,"31,250.00","31,250.00",EUR,20.00,"31,250.00"
29.07.2025,NEMO-MONT D.O.O.,90723,90723 NEMO-MONT,8.00,0.00,"15,329.40","15,329.40",EUR,8.00,"15,329.40"
21.08.2025,MEPSTER LTD,90726,MEPSTER,72.00,0.00,"45,500.00","45,500.00",USD,72.00,"45,500.00"
21.08.2025,HADRIJAN DOO,90727,HADRIJAN DOO,101.00,0.00,"29,197.31","29,197.31",USD,101.00,"29,197.31"
26.08.2025,CLIMA KG EOOD,90728,CLIMA KG ,9.00,0.00,"12,312.50","11,500.00",EUR,9.00,"11,500.00"
26.08.2025,CLIMA KG EOOD,90729,CLIMA KG ,3.00,0.00,"3,342.81","3,342.81",EUR,3.00,"3,342.81"
03.09.2025,NEMO-MONT D.O.O.,90730,RTM GROUP UP8 BAR,9.00,0.00,"8,719.49","8,719.49",EUR,9.00,"8,719.49"
03.09.2025,NEMO-MONT D.O.O.,90731,T-9820 NEMO-MONT,8.00,0.00,"8,271.42","8,271.42",EUR,8.00,"8,271.42"
04.09.2025,NEMO-MONT D.O.O.,90732,BOX Fans request RTM Group,2.00,0.00,"1,837.80","1,837.80",EUR,2.00,"1,837.80"
,,,,,,,,,,
,,,,,,,,,USD,"427,954.47 "
,,,,,,,,,EUR,"230,359.72 "
,,,,,,,,,GBP,"12,830.00"
,,,,,,,,,TL,"214,095.36"
